mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,name,origin
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,peugeot 304,europe
30.0,4.0,88.0,76.0,2065.0,14.5,71.0,fiat 124b,europe
31.0,4.0,71.0,65.0,1773.0,19.0,71.0,toyota corolla 1200,japan
35.0,4.0,72.0,69.0,1613.0,18.0,71.0,datsun 1200,japan
27.0,4.0,97.0,60.0,1834.0,19.0,71.0,volkswagen model 111,europe
26.0,4.0,91.0,70.0,1955.0,20.5,71.0,plymouth cricket,usa
24.0,4.0,113.0,95.0,2278.0,15.5,72.0,toyota corona hardtop,japan
25.0,4.0,97.5,80.0,2126.0,17.0,72.0,dodge colt hardtop,usa
23.0,4.0,97.0,54.0,2254.0,23.5,72.0,volkswagen type 3,europe
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,chevrolet vega,usa
21.0,4.0,122.0,86.0,2226.0,16.5,72.0,ford pinto runabout,usa
13.0,8.0,350.0,165.0,4274.0,12.0,72.0,chevrolet impala,usa
14.0,8.0,400.0,175.0,4385.0,12.0,72.0,pontiac catalina,usa
15.0,8.0,318.0,150.0,4135.0,13.5,72.0,plymouth fury iii,usa
14.0,8.0,351.0,153.0,4129.0,13.0,72.0,ford galaxie 500,usa
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,amc ambassador sst,usa
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,mercury marquis,usa
13.0,8.0,350.0,155.0,4502.0,13.5,72.0,buick lesabre custom,usa
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,oldsmobile delta 88 royale,usa
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,chrysler newport royal,usa
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,mazda rx2 coupe,japan
15.0,8.0,304.0,150.0,3892.0,12.5,72.0,amc matador (sw),usa
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,chevrolet chevelle concours (sw),usa
13.0,8.0,302.0,140.0,4294.0,16.0,72.0,ford gran torino (sw),usa
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,plymouth satellite custom (sw),usa
18.0,4.0,121.0,112.0,2933.0,14.5,72.0,volvo 145e (sw),europe
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,volkswagen 411 (sw),europe
21.0,4.0,120.0,87.0,2979.0,19.5,72.0,peugeot 504 (sw),europe
26.0,4.0,96.0,69.0,2189.0,18.0,72.0,renault 12 (sw),europe
22.0,4.0,122.0,86.0,2395.0,16.0,72.0,ford pinto (sw),usa
28.0,4.0,97.0,92.0,2288.0,17.0,72.0,datsun 510 (sw),japan
23.0,4.0,120.0,97.0,2506.0,14.5,72.0,toyouta corona mark ii (sw),japan
28.0,4.0,98.0,80.0,2164.0,15.0,72.0,dodge colt (sw),usa
27.0,4.0,97.0,88.0,2100.0,16.5,72.0,toyota corolla 1600 (sw),japan
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,buick century 350,usa
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,amc matador,usa
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,chevrolet malibu,usa
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,ford gran torino,usa
15.0,8.0,318.0,150.0,3777.0,12.5,73.0,dodge coronet custom,usa
12.0,8.0,429.0,198.0,4952.0,11.5,73.0,mercury marquis brougham,usa
13.0,8.0,400.0,150.0,4464.0,12.0,73.0,chevrolet caprice classic,usa
13.0,8.0,351.0,158.0,4363.0,13.0,73.0,ford ltd,usa
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,plymouth fury gran sedan,usa
13.0,8.0,440.0,215.0,4735.0,11.0,73.0,chrysler new yorker brougham,usa
12.0,8.0,455.0,225.0,4951.0,11.0,73.0,buick electra 225 custom,usa
13.0,8.0,360.0,175.0,3821.0,11.0,73.0,amc ambassador brougham,usa
18.0,6.0,225.0,105.0,3121.0,16.5,73.0,plymouth valiant,usa
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,chevrolet nova custom,usa
18.0,6.0,232.0,100.0,2945.0,16.0,73.0,amc hornet,usa
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,ford maverick,usa
23.0,6.0,198.0,95.0,2904.0,16.0,73.0,plymouth duster,usa
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,volkswagen super beetle,europe
11.0,8.0,400.0,150.0,4997.0,14.0,73.0,chevrolet impala,usa
12.0,8.0,400.0,167.0,4906.0,12.5,73.0,ford country,usa
13.0,8.0,360.0,170.0,4654.0,13.0,73.0,plymouth custom suburb,usa
12.0,8.0,350.0,180.0,4499.0,12.5,73.0,oldsmobile vista cruiser,usa
18.0,6.0,232.0,100.0,2789.0,15.0,73.0,amc gremlin,usa
20.0,4.0,97.0,88.0,2279.0,19.0,73.0,toyota carina,japan
21.0,4.0,140.0,72.0,2401.0,19.5,73.0,chevrolet vega,usa
22.0,4.0,108.0,94.0,2379.0,16.5,73.0,datsun 610,japan
18.0,3.0,70.0,90.0,2124.0,13.5,73.0,maxda rx3,japan
19.0,4.0,122.0,85.0,2310.0,18.5,73.0,ford pinto,usa
21.0,6.0,155.0,107.0,2472.0,14.0,73.0,mercury capri v6,usa
26.0,4.0,98.0,90.0,2265.0,15.5,73.0,fiat 124 sport coupe,europe
15.0,8.0,350.0,145.0,4082.0,13.0,73.0,chevrolet monte carlo s,usa
16.0,8.0,400.0,230.0,4278.0,9.5,73.0,pontiac grand prix,usa
29.0,4.0,68.0,49.0,1867.0,19.5,73.0,fiat 128,europe
24.0,4.0,116.0,75.0,2158.0,15.5,73.0,opel manta,europe
20.0,4.0,114.0,91.0,2582.0,14.0,73.0,audi 100ls,europe
19.0,4.0,121.0,112.0,2868.0,15.5,73.0,volvo 144ea,europe
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,dodge dart custom,usa
24.0,4.0,121.0,110.0,2660.0,14.0,73.0,saab 99le,europe
20.0,6.0,156.0,122.0,2807.0,13.5,73.0,toyota mark ii,japan
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,oldsmobile omega,usa
20.0,6.0,198.0,95.0,3102.0,16.5,74.0,plymouth duster,usa
21.0,6.0,200.0,0.0,2875.0,17.0,74.0,ford maverick,usa
19.0,6.0,232.0,100.0,2901.0,16.0,74.0,amc hornet,usa
15.0,6.0,250.0,100.0,3336.0,17.0,74.0,chevrolet nova,usa
31.0,4.0,79.0,67.0,1950.0,19.0,74.0,datsun b210,japan
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,ford pinto,usa
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,toyota corolla 1200,japan
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,chevrolet vega,usa
16.0,6.0,250.0,100.0,3781.0,17.0,74.0,chevrolet chevelle malibu classic,usa
16.0,6.0,258.0,110.0,3632.0,18.0,74.0,amc matador,usa
18.0,6.0,225.0,105.0,3613.0,16.5,74.0,plymouth satellite sebring,usa
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,ford gran torino,usa
13.0,8.0,350.0,150.0,4699.0,14.5,74.0,buick century luxus (sw),usa
14.0,8.0,318.0,150.0,4457.0,13.5,74.0,dodge coronet custom (sw),usa
14.0,8.0,302.0,140.0,4638.0,16.0,74.0,ford gran torino (sw),usa
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,amc matador (sw),usa
29.0,4.0,98.0,83.0,2219.0,16.5,74.0,audi fox,europe
26.0,4.0,79.0,67.0,1963.0,15.5,74.0,volkswagen dasher,europe
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,opel manta,europe
31.0,4.0,76.0,52.0,1649.0,16.5,74.0,toyota corona,japan
32.0,4.0,83.0,61.0,2003.0,19.0,74.0,datsun 710,japan
28.0,4.0,90.0,75.0,2125.0,14.5,74.0,dodge colt,usa
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,fiat 128,europe
26.0,4.0,116.0,75.0,2246.0,14.0,74.0,fiat 124 tc,europe
24.0,4.0,120.0,97.0,2489.0,15.0,74.0,honda civic,japan
26.0,4.0,108.0,93.0,2391.0,15.5,74.0,subaru,japan
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,fiat x1.9,europe
19.0,6.0,225.0,95.0,3264.0,16.0,75.0,plymouth valiant custom,usa
18.0,6.0,250.0,105.0,3459.0,16.0,75.0,chevrolet nova,usa
15.0,6.0,250.0,72.0,3432.0,21.0,75.0,mercury monarch,usa
15.0,6.0,250.0,72.0,3158.0,19.5,75.0,ford maverick,usa
16.0,8.0,400.0,170.0,4668.0,11.5,75.0,pontiac catalina,usa
15.0,8.0,350.0,145.0,4440.0,14.0,75.0,chevrolet bel air,usa
16.0,8.0,318.0,150.0,4498.0,14.5,75.0,plymouth grand fury,usa
14.0,8.0,351.0,148.0,4657.0,13.5,75.0,ford ltd,usa
17.0,6.0,231.0,110.0,3907.0,21.0,75.0,buick century,usa
16.0,6.0,250.0,105.0,3897.0,18.5,75.0,chevroelt chevelle malibu,usa
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,amc matador,usa
18.0,6.0,225.0,95.0,3785.0,19.0,75.0,plymouth fury,usa
21.0,6.0,231.0,110.0,3039.0,15.0,75.0,buick skyhawk,usa
20.0,8.0,262.0,110.0,3221.0,13.5,75.0,chevrolet monza 2+2,usa
13.0,8.0,302.0,129.0,3169.0,12.0,75.0,ford mustang ii,usa
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,toyota corolla,japan
23.0,4.0,140.0,83.0,2639.0,17.0,75.0,ford pinto,usa
20.0,6.0,232.0,100.0,2914.0,16.0,75.0,amc gremlin,usa
23.0,4.0,140.0,78.0,2592.0,18.5,75.0,pontiac astro,usa
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,toyota corona,japan
25.0,4.0,90.0,71.0,2223.0,16.5,75.0,volkswagen dasher,europe
24.0,4.0,119.0,97.0,2545.0,17.0,75.0,datsun 710,japan
18.0,6.0,171.0,97.0,2984.0,14.5,75.0,ford pinto,usa
29.0,4.0,90.0,70.0,1937.0,14.0,75.0,volkswagen rabbit,europe
19.0,6.0,232.0,90.0,3211.0,17.0,75.0,amc pacer,usa
23.0,4.0,115.0,95.0,2694.0,15.0,75.0,audi 100ls,europe
23.0,4.0,120.0,88.0,2957.0,17.0,75.0,peugeot 504,europe
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,volvo 244dl,europe
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,saab 99le,europe
33.0,4.0,91.0,53.0,1795.0,17.5,75.0,honda civic cvcc,japan
28.0,4.0,107.0,86.0,2464.0,15.5,76.0,fiat 131,europe
25.0,4.0,116.0,81.0,2220.0,16.9,76.0,opel 1900,europe
25.0,4.0,140.0,92.0,2572.0,14.9,76.0,capri ii,usa
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,dodge colt,usa
27.0,4.0,101.0,83.0,2202.0,15.3,76.0,renault 12tl,europe
17.5,8.0,305.0,140.0,4215.0,13.0,76.0,chevrolet chevelle malibu classic,usa
16.0,8.0,318.0,150.0,4190.0,13.0,76.0,dodge coronet brougham,usa
15.5,8.0,304.0,120.0,3962.0,13.9,76.0,amc matador,usa
14.5,8.0,351.0,152.0,4215.0,12.8,76.0,ford gran torino,usa
22.0,6.0,225.0,100.0,3233.0,15.4,76.0,plymouth valiant,usa
22.0,6.0,250.0,105.0,3353.0,14.5,76.0,chevrolet nova,usa
24.0,6.0,200.0,81.0,3012.0,17.6,76.0,ford maverick,usa
22.5,6.0,232.0,90.0,3085.0,17.6,76.0,amc hornet,usa
29.0,4.0,85.0,52.0,2035.0,22.2,76.0,chevrolet chevette,usa
24.5,4.0,98.0,60.0,2164.0,22.1,76.0,chevrolet woody,usa
29.0,4.0,90.0,70.0,1937.0,14.2,76.0,vw rabbit,europe
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,honda civic,japan
20.0,6.0,225.0,100.0,3651.0,17.7,76.0,dodge aspen se,usa
18.0,6.0,250.0,78.0,3574.0,21.0,76.0,ford granada ghia,usa
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,pontiac ventura sj,usa
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,amc pacer d/l,usa
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,volkswagen rabbit,europe
32.0,4.0,85.0,70.0,1990.0,17.0,76.0,datsun b-210,japan
28.0,4.0,97.0,75.0,2155.0,16.4,76.0,toyota corolla,japan
26.5,4.0,140.0,72.0,2565.0,13.6,76.0,ford pinto,usa
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,volvo 245,europe
13.0,8.0,318.0,150.0,3940.0,13.2,76.0,plymouth volare premier v8,usa
19.0,4.0,120.0,88.0,3270.0,21.9,76.0,peugeot 504,europe
19.0,6.0,156.0,108.0,2930.0,15.5,76.0,toyota mark ii,japan
16.5,6.0,168.0,120.0,3820.0,16.7,76.0,mercedes-benz 280s,europe
16.5,8.0,350.0,180.0,4380.0,12.1,76.0,cadillac seville,usa
13.0,8.0,350.0,145.0,4055.0,12.0,76.0,chevy c10,usa
13.0,8.0,302.0,130.0,3870.0,15.0,76.0,ford f108,usa
13.0,8.0,318.0,150.0,3755.0,14.0,76.0,dodge d100,usa
31.5,4.0,98.0,68.0,2045.0,18.5,77.0,honda accord cvcc,japan
30.0,4.0,111.0,80.0,2155.0,14.8,77.0,buick opel isuzu deluxe,usa
36.0,4.0,79.0,58.0,1825.0,18.6,77.0,renault 5 gtl,europe
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,plymouth arrow gs,usa
33.5,4.0,85.0,70.0,1945.0,16.8,77.0,datsun f-10 hatchback,japan
17.5,8.0,305.0,145.0,3880.0,12.5,77.0,chevrolet caprice classic,usa
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,oldsmobile cutlass supreme,usa
15.5,8.0,318.0,145.0,4140.0,13.7,77.0,dodge monaco brougham,usa
15.0,8.0,302.0,130.0,4295.0,14.9,77.0,mercury cougar brougham,usa
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,chevrolet concours,usa
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,buick skylark,usa
19.0,6.0,225.0,100.0,3630.0,17.7,77.0,plymouth volare custom,usa
18.5,6.0,250.0,98.0,3525.0,19.0,77.0,ford granada,usa
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,pontiac grand prix lj,usa
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,chevrolet monte carlo landau,usa
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,chrysler cordoba,usa
16.0,8.0,351.0,149.0,4335.0,14.5,77.0,ford thunderbird,usa
29.0,4.0,97.0,78.0,1940.0,14.5,77.0,volkswagen rabbit custom,europe
24.5,4.0,151.0,88.0,2740.0,16.0,77.0,pontiac sunbird coupe,usa
26.0,4.0,97.0,75.0,2265.0,18.2,77.0,toyota corolla liftback,japan
25.5,4.0,140.0,89.0,2755.0,15.8,77.0,ford mustang ii 2+2,usa
30.5,4.0,98.0,63.0,2051.0,17.0,77.0,chevrolet chevette,usa
33.5,4.0,98.0,83.0,2075.0,15.9,77.0,dodge colt m/m,usa
30.0,4.0,97.0,67.0,1985.0,16.4,77.0,subaru dl,japan
30.5,4.0,97.0,78.0,2190.0,14.1,77.0,volkswagen dasher,europe
22.0,6.0,146.0,97.0,2815.0,14.5,77.0,datsun 810,japan
21.5,4.0,121.0,110.0,2600.0,12.8,77.0,bmw 320i,europe
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,mazda rx-4,japan
43.1,4.0,90.0,48.0,1985.0,21.5,78.0,volkswagen rabbit custom diesel,europe
36.1,4.0,98.0,66.0,1800.0,14.4,78.0,ford fiesta,usa
32.8,4.0,78.0,52.0,1985.0,19.4,78.0,mazda glc deluxe,japan
39.4,4.0,85.0,70.0,2070.0,18.6,78.0,datsun b210 gx,japan
36.1,4.0,91.0,60.0,1800.0,16.4,78.0,honda civic cvcc,japan
19.9,8.0,260.0,110.0,3365.0,15.5,78.0,oldsmobile cutlass salon brougham,usa
19.4,8.0,318.0,140.0,3735.0,13.2,78.0,dodge diplomat,usa
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,mercury monarch ghia,usa
19.2,6.0,231.0,105.0,3535.0,19.2,78.0,pontiac phoenix lj,usa
20.5,6.0,200.0,95.0,3155.0,18.2,78.0,chevrolet malibu,usa
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,ford fairmont (auto),usa
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,ford fairmont (man),usa
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,plymouth volare,usa
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,amc concord,usa
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,buick century special,usa
20.8,6.0,200.0,85.0,3070.0,16.7,78.0,mercury zephyr,usa
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,dodge aspen,usa
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,amc concord d/l,usa
19.2,8.0,305.0,145.0,3425.0,13.2,78.0,chevrolet monte carlo landau,usa
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,buick regal sport coupe (turbo),usa
18.1,8.0,302.0,139.0,3205.0,11.2,78.0,ford futura,usa
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,dodge magnum xe,usa
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,chevrolet chevette,usa
27.5,4.0,134.0,95.0,2560.0,14.2,78.0,toyota corona,japan
27.2,4.0,119.0,97.0,2300.0,14.7,78.0,datsun 510,japan
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,dodge omni,usa
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,toyota celica gt liftback,japan
23.2,4.0,156.0,105.0,2745.0,16.7,78.0,plymouth sapporo,usa
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,oldsmobile starfire sx,usa
23.9,4.0,119.0,97.0,2405.0,14.9,78.0,datsun 200-sx,japan
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,audi 5000,europe
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,volvo 264gl,europe
21.6,4.0,121.0,115.0,2795.0,15.7,78.0,saab 99gle,europe
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,peugeot 604sl,europe
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,volkswagen scirocco,europe
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,honda accord lx,japan
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,pontiac lemans v6,usa
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,mercury zephyr 6,usa
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,ford fairmont 4,usa
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,amc concord dl 6,usa
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,dodge aspen 6,usa
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,chevrolet caprice classic,usa
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,ford ltd landau,usa
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,mercury grand marquis,usa
18.2,8.0,318.0,135.0,3830.0,15.2,79.0,dodge st. regis,usa
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,buick estate wagon (sw),usa
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,ford country squire (sw),usa
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,chevrolet malibu classic (sw),usa
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,chrysler lebaron town @ country (sw),usa
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,vw rabbit custom,europe
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,maxda glc deluxe,japan
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,dodge colt hatchback custom,usa
27.4,4.0,121.0,80.0,2670.0,15.0,79.0,amc spirit dl,usa
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,mercedes benz 300d,europe
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,cadillac eldorado,usa
27.2,4.0,141.0,71.0,3190.0,24.8,79.0,peugeot 504,europe
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,oldsmobile cutlass salon brougham,usa
34.2,4.0,105.0,70.0,2200.0,13.2,79.0,plymouth horizon,usa
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,plymouth horizon tc3,usa
31.8,4.0,85.0,65.0,2020.0,19.2,79.0,datsun 210,japan
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,fiat strada custom,europe
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,buick skylark limited,usa
28.8,6.0,173.0,115.0,2595.0,11.3,79.0,chevrolet citation,usa
26.8,6.0,173.0,115.0,2700.0,12.9,79.0,oldsmobile omega brougham,usa
33.5,4.0,151.0,90.0,2556.0,13.2,79.0,pontiac phoenix,usa
41.5,4.0,98.0,76.0,2144.0,14.7,80.0,vw rabbit,europe
38.1,4.0,89.0,60.0,1968.0,18.8,80.0,toyota corolla tercel,japan
32.1,4.0,98.0,70.0,2120.0,15.5,80.0,chevrolet chevette,usa
37.2,4.0,86.0,65.0,2019.0,16.4,80.0,datsun 310,japan
28.0,4.0,151.0,90.0,2678.0,16.5,80.0,chevrolet citation,usa
26.4,4.0,140.0,88.0,2870.0,18.1,80.0,ford fairmont,usa
24.3,4.0,151.0,90.0,3003.0,20.1,80.0,amc concord,usa
19.1,6.0,225.0,90.0,3381.0,18.7,80.0,dodge aspen,usa
34.3,4.0,97.0,78.0,2188.0,15.8,80.0,audi 4000,europe
29.8,4.0,134.0,90.0,2711.0,15.5,80.0,toyota corona liftback,japan
31.3,4.0,120.0,75.0,2542.0,17.5,80.0,mazda 626,japan
37.0,4.0,119.0,92.0,2434.0,15.0,80.0,datsun 510 hatchback,japan
32.2,4.0,108.0,75.0,2265.0,15.2,80.0,toyota corolla,japan
46.6,4.0,86.0,65.0,2110.0,17.9,80.0,mazda glc,japan
27.9,4.0,156.0,105.0,2800.0,14.4,80.0,dodge colt,usa
40.8,4.0,85.0,65.0,2110.0,19.2,80.0,datsun 210,japan
44.3,4.0,90.0,48.0,2085.0,21.7,80.0,vw rabbit c (diesel),europe
43.4,4.0,90.0,48.0,2335.0,23.7,80.0,vw dasher (diesel),europe
36.4,5.0,121.0,67.0,2950.0,19.9,80.0,audi 5000s (diesel),europe
30.0,4.0,146.0,67.0,3250.0,21.8,80.0,mercedes-benz 240d,europe
44.6,4.0,91.0,67.0,1850.0,13.8,80.0,honda civic 1500 gl,japan
40.9,4.0,85.0,0.0,1835.0,17.3,80.0,renault lecar deluxe,europe
33.8,4.0,97.0,67.0,2145.0,18.0,80.0,subaru dl,japan
29.8,4.0,89.0,62.0,1845.0,15.3,80.0,vokswagen rabbit,europe
32.7,6.0,168.0,132.0,2910.0,11.4,80.0,datsun 280-zx,japan
23.7,3.0,70.0,100.0,2420.0,12.5,80.0,mazda rx-7 gs,japan
35.0,4.0,122.0,88.0,2500.0,15.1,80.0,triumph tr7 coupe,europe
23.6,4.0,140.0,0.0,2905.0,14.3,80.0,ford mustang cobra,usa
32.4,4.0,107.0,72.0,2290.0,17.0,80.0,honda accord,japan
27.2,4.0,135.0,84.0,2490.0,15.7,81.0,plymouth reliant,usa
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,buick skylark,usa
25.8,4.0,156.0,92.0,2620.0,14.4,81.0,dodge aries wagon (sw),usa
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,chevrolet citation,usa
30.0,4.0,135.0,84.0,2385.0,12.9,81.0,plymouth reliant,usa
